iata,icao,nombre,ciudad,provincia_codigo,provincia_nombre,lat,lon,tipo
EZE,SAEZ,Ministro Pistarini,Ezeiza,06,Buenos Aires,-34.8222,-58.5358,internacional
AEP,SABE,Jorge Newbery,Ciudad Autónoma de Buenos Aires,02,Ciudad Autónoma de Buenos Aires,-34.5592,-58.4156,cabotaje
COR,SACO,Ingeniero Ambrosio Taravella,Córdoba,14,Córdoba,-31.3236,-64.2080,internacional
MDZ,SAME,El Plumerillo,Mendoza,50,Mendoza,-32.8317,-68.7929,internacional
ROS,SAAR,Islas Malvinas,Rosario,82,Santa Fe,-32.9036,-60.7850,internacional
BRC,SAZS,San Carlos de Bariloche,San Carlos de Bariloche,62,Río Negro,-41.1512,-71.1575,internacional
USH,SAWH,Malvinas Argentinas,Ushuaia,94,Tierra del Fuego,-54.8433,-68.2958,internacional
RGL,SAWG,Piloto Civil Norberto Fernández,Río Gallegos,78,Santa Cruz,-51.6089,-69.3126,internacional
CRD,SAVC,General Enrique Mosconi,Comodoro Rivadavia,26,Chubut,-45.7853,-67.4655,internacional
NQN,SAZN,Presidente Perón,Neuquén,58,Neuquén,-38.9489,-68.1556,internacional
TUC,SANT,Teniente Benjamín Matienzo,San Miguel de Tucumán,90,Tucumán,-26.8409,-65.1048,internacional
SLA,SASA,Martín Miguel de Güemes,Salta,66,Salta,-24.8559,-65.4861,internacional
JUJ,SASJ,Horacio Guzmán,San Salvador de Jujuy,38,Jujuy,-24.3928,-65.0978,internacional
IGR,SARI,Cataratas del Iguazú,Puerto Iguazú,54,Misiones,-25.7373,-54.4734,internacional
PSS,SARP,Libertador General San Martín,Posadas,54,Misiones,-27.3859,-55.9707,cabotaje
FMA,SARF,El Pucú,Formosa,34,Formosa,-26.2127,-58.2281,cabotaje
RES,SARE,Resistencia,Resistencia,22,Chaco,-27.4499,-59.0561,cabotaje
CTC,SANC,Coronel Felipe Varela,San Fernando del Valle de Catamarca,10,Catamarca,-28.5957,-65.7515,cabotaje
UAQ,SANU,Domingo Faustino Sarmiento,San Juan,70,San Juan,-31.5715,-68.4181,cabotaje
SDE,SANE,Vicecomodoro Ángel de la Paz Aragonés,Santiago del Estero,86,Santiago del Estero,-27.7656,-64.3098,cabotaje
IRJ,SANL,Capitán Vicente Almandos Almonacid,La Rioja,46,La Rioja,-29.3814,-66.7958,cabotaje
LUQ,SAOU,Brigadier Mayor César Raúl Ojeda,San Luis,74,San Luis,-33.2733,-66.3564,cabotaje
PMY,SAVY,El Tehuelche,Puerto Madryn,26,Chubut,-42.7592,-65.1027,cabotaje
REL,SAVT,Almirante Marcos A. Zar,Trelew,26,Chubut,-43.2105,-65.2703,cabotaje
RGA,SAWE,Hermes Quijada,Río Grande,94,Tierra del Fuego,-53.7777,-67.7494,internacional
VDM,SAVV,Gobernador Edgardo Castello,Viedma,62,Río Negro,-40.8692,-63.0004,cabotaje
PRA,SAAP,General Justo José de Urquiza,Paraná,30,Entre Ríos,-31.7948,-60.4804,cabotaje
SFN,SAAV,Sauce Viejo,Santa Fe,82,Santa Fe,-31.7117,-60.8117,cabotaje
BHI,SAZB,Comandante Espora,Bahía Blanca,06,Buenos Aires,-38.7250,-62.1693,cabotaje
MDQ,SAZM,Astor Piazzolla,Mar del Plata,06,Buenos Aires,-37.9342,-57.5733,internacional
FTE,SAWC,Comandante Armando Tola,El Calafate,78,Santa Cruz,-50.2803,-72.0531,internacional
EQS,SAVE,Esquel,Esquel,26,Chubut,-42.9080,-71.1395,cabotaje
CPC,SAZY,Aviador Carlos Campos,San Martín de los Andes,58,Neuquén,-40.0754,-71.1373,cabotaje
RHD,SANR,Termas de Río Hondo,Termas de Río Hondo,86,Santiago del Estero,-27.4969,-64.9358,cabotaje
CNQ,SATR,Corrientes,Corrientes,18,Corrientes,-27.4456,-58.7619,cabotaje
RYO,SAWT,Río Turbio,Río Turbio,78,Santa Cruz,-51.6089,-72.2196,cabotaje
GHU,SAAG,Gualeguaychú,Gualeguaychú,30,Entre Ríos,-33.0103,-58.6131,cabotaje
RSA,SAZR,Santa Rosa,Santa Rosa,42,La Pampa,-36.5882,-64.2755,cabotaje
PRQ,SANS,Termas Reconquista,Reconquista,82,Santa Fe,-29.2103,-59.6925,cabotaje
