codigo,nombre,provincia_codigo,provincia_nombre
2,Gran La Plata,06,Buenos Aires
3,Bahía Blanca - Cerri,06,Buenos Aires
4,Gran Rosario,82,Santa Fe
5,Gran Santa Fe,82,Santa Fe
6,Gran Paraná,30,Entre Ríos
7,Posadas,54,Misiones
8,Gran Resistencia,22,Chaco
9,Comodoro Rivadavia - Rada Tilly,26,Chubut
10,Gran Mendoza,50,Mendoza
12,Corrientes,18,Corrientes
13,Gran Córdoba,14,Córdoba
14,Concordia,30,Entre Ríos
15,Formosa,34,Formosa
17,Neuquén - Plottier,58,Neuquén
18,Santiago del Estero - La Banda,86,Santiago del Estero
19,Jujuy - Palpalá,38,Jujuy
20,Río Gallegos,78,Santa Cruz
22,Gran Catamarca,10,Catamarca
23,Salta,66,Salta
25,La Rioja,46,La Rioja
26,San Luis - El Chorrillo,74,San Luis
27,Gran San Juan,70,San Juan
29,Gran Tucumán - Tafí Viejo,90,Tucumán
30,Santa Rosa - Toay,42,La Pampa
31,Ushuaia - Río Grande,94,Tierra del Fuego
32,Ciudad de Buenos Aires,02,Ciudad Autónoma de Buenos Aires
33,Partidos del GBA,06,Buenos Aires
34,Mar del Plata,06,Buenos Aires
36,Río Cuarto,14,Córdoba
38,San Nicolás - Villa Constitución,82,Santa Fe
91,Rawson - Trelew,26,Chubut
93,Viedma - Carmen de Patagones,62,Río Negro
