nombre,provincia_codigo,provincia_nombre,poblacion_2022,lat,lon
Buenos Aires,02,Ciudad Autónoma de Buenos Aires,3121707,-34.6037,-58.3816
Córdoba,14,Córdoba,1565112,-31.4201,-64.1888
Rosario,82,Santa Fe,1028658,-32.9442,-60.6505
La Plata,06,Buenos Aires,772618,-34.9214,-57.9544
Mar del Plata,06,Buenos Aires,682605,-38.0023,-57.5575
San Miguel de Tucumán,90,Tucumán,695807,-26.8083,-65.2176
Salta,66,Salta,618375,-24.7821,-65.4232
Santa Fe,82,Santa Fe,415345,-31.6107,-60.6973
San Juan,70,San Juan,471389,-31.5375,-68.5364
Resistencia,22,Chaco,387341,-27.4517,-58.9867
Santiago del Estero,86,Santiago del Estero,360923,-27.7951,-64.2615
Corrientes,18,Corrientes,358223,-27.4806,-58.8341
Posadas,54,Misiones,323739,-27.3621,-55.9008
Bahía Blanca,06,Buenos Aires,306432,-38.7196,-62.2724
San Salvador de Jujuy,38,Jujuy,305891,-24.1858,-65.2995
Neuquén,58,Neuquén,286000,-38.9516,-68.0591
Vicente López,06,Buenos Aires,269909,-34.5278,-58.4858
Paraná,30,Entre Ríos,280000,-31.7330,-60.5238
Formosa,34,Formosa,234000,-26.1844,-58.1722
Comodoro Rivadavia,26,Chubut,213000,-45.8650,-67.4929
San Fernando del Valle de Catamarca,10,Catamarca,202000,-28.4696,-65.7795
La Rioja,46,La Rioja,190000,-29.4128,-66.8559
Río Cuarto,14,Córdoba,175000,-33.1232,-64.3493
San Luis,74,San Luis,169947,-33.2950,-66.3356
Concordia,30,Entre Ríos,165000,-31.3905,-58.0212
Tandil,06,Buenos Aires,130000,-37.3217,-59.1332
Santa Rosa,42,La Pampa,131000,-36.6203,-64.2906
Mendoza,50,Mendoza,115041,-32.8895,-68.8458
Villa Carlos Paz,14,Córdoba,95000,-31.4221,-64.4995
Viedma,62,Río Negro,92000,-40.8135,-62.9967
Río Gallegos,78,Santa Cruz,98000,-51.6230,-69.2168
Ushuaia,94,Tierra del Fuego,82000,-54.8019,-68.3030
Rawson,26,Chubut,33000,-43.3002,-65.1023
