codigo,descripcion,sector,sector_nombre,grupo
011110,Cultivo de arroz,A,Agricultura ganadería caza silvicultura y pesca,0111
011210,"Cultivo de trigo",A,Agricultura ganadería caza silvicultura y pesca,0112
011230,"Cultivo de maíz",A,Agricultura ganadería caza silvicultura y pesca,0112
011291,"Cultivo de soja",A,Agricultura ganadería caza silvicultura y pesca,0112
011300,"Cultivo de hortalizas legumbres flores y plantas ornamentales",A,Agricultura ganadería caza silvicultura y pesca,0113
011400,"Cultivo de frutas",A,Agricultura ganadería caza silvicultura y pesca,0114
011500,"Cultivo de plantas para bebidas yerba mate té y café",A,Agricultura ganadería caza silvicultura y pesca,0115
012110,"Cría de ganado bovino",A,Agricultura ganadería caza silvicultura y pesca,0121
012130,"Cría de ganado ovino",A,Agricultura ganadería caza silvicultura y pesca,0121
012140,"Cría de ganado caprino",A,Agricultura ganadería caza silvicultura y pesca,0121
012150,"Cría de ganado porcino",A,Agricultura ganadería caza silvicultura y pesca,0121
012200,"Cría de animales para producción de leche",A,Agricultura ganadería caza silvicultura y pesca,0122
012410,"Cría de aves para producción de carne y huevos",A,Agricultura ganadería caza silvicultura y pesca,0124
021000,"Silvicultura y extracción de madera",A,Agricultura ganadería caza silvicultura y pesca,0210
031110,"Pesca marítima",A,Agricultura ganadería caza silvicultura y pesca,0311
031200,"Pesca continental",A,Agricultura ganadería caza silvicultura y pesca,0312
032000,"Acuicultura",A,Agricultura ganadería caza silvicultura y pesca,0320
051000,"Extracción de carbón",B,Explotación de minas y canteras,0510
061000,"Extracción de petróleo crudo",B,Explotación de minas y canteras,0610
062000,"Extracción de gas natural",B,Explotación de minas y canteras,0620
071000,"Extracción de minerales de hierro",B,Explotación de minas y canteras,0710
072000,"Extracción de minerales metalíferos no ferrosos excepto uranio",B,Explotación de minas y canteras,0720
081100,"Extracción de rocas ornamentales",B,Explotación de minas y canteras,0811
101011,"Matanza de ganado bovino y procesamiento de su carne",C,Industria manufacturera,1010
101012,"Procesamiento de carne de aves",C,Industria manufacturera,1010
103010,"Elaboración de jugos naturales y concentrados de frutas y hortalizas",C,Industria manufacturera,1030
104010,"Elaboración de aceites y grasas vegetales sin refinar",C,Industria manufacturera,1040
105010,"Elaboración de leches y productos lácteos deshidratados",C,Industria manufacturera,1050
107110,"Elaboración de galletitas y bizcochos",C,Industria manufacturera,1071
107120,"Elaboración industrial de productos de panadería excepto galletitas y bizcochos",C,Industria manufacturera,1071
108011,"Elaboración de comidas preparadas para reventa",C,Industria manufacturera,1080
110100,"Destilación y rectificación de bebidas alcohólicas",C,Industria manufacturera,1101
110200,"Elaboración de vinos",C,Industria manufacturera,1102
110300,"Elaboración de cerveza",C,Industria manufacturera,1103
110420,"Elaboración de bebidas no alcohólicas",C,Industria manufacturera,1104
120000,"Elaboración de productos de tabaco",C,Industria manufacturera,1200
139201,"Fabricación de frazadas mantas ponchos colchas cubrecamas y artículos similares",C,Industria manufacturera,1392
141110,"Confección de prendas de vestir excepto prendas de piel y cuero",C,Industria manufacturera,1411
151200,"Fabricación de maletas bolsos de mano y similares artículos de marroquinería",C,Industria manufacturera,1512
152020,"Fabricación de calzado de cuero excepto calzado deportivo y ortopédico",C,Industria manufacturera,1520
192000,"Fabricación de productos de la refinación del petróleo",C,Industria manufacturera,1920
201190,"Fabricación de sustancias químicas básicas excepto abonos y compuestos de nitrógeno",C,Industria manufacturera,2011
202100,"Fabricación de plaguicidas y productos químicos de uso agropecuario",C,Industria manufacturera,2021
210010,"Fabricación de medicamentos de uso humano",C,Industria manufacturera,2100
231010,"Fabricación de envases de vidrio",C,Industria manufacturera,2310
