anio,nacimientos,fuente
1914,287318,deis_msal
1915,283176,deis_msal
1916,287293,deis_msal
1917,277487,deis_msal
1918,275876,deis_msal
1919,277173,deis_msal
1920,279085,deis_msal
1921,290344,deis_msal
1922,300544,deis_msal
1923,315801,deis_msal
1924,318778,deis_msal
1925,318446,deis_msal
1926,321136,deis_msal
1927,326542,deis_msal
1928,336471,deis_msal
1929,339308,deis_msal
1930,341983,deis_msal
1931,338282,deis_msal
1932,340390,deis_msal
1933,321800,deis_msal
1934,319674,deis_msal
1935,322020,deis_msal
1936,320170,deis_msal
1937,320875,deis_msal
1938,325869,deis_msal
1939,328972,deis_msal
1940,340672,deis_msal
1941,341186,deis_msal
1942,340634,deis_msal
1943,360131,deis_msal
1944,380950,deis_msal
1945,388191,deis_msal
1946,386599,deis_msal
1947,398468,deis_msal
1948,413132,deis_msal
1949,419656,deis_msal
1950,438766,deis_msal
1951,444326,deis_msal
1952,443386,deis_msal
1953,452660,deis_msal
1954,457559,deis_msal
1955,461293,deis_msal
1956,474142,deis_msal
1957,478368,deis_msal
1958,472865,deis_msal
1959,476211,deis_msal
1960,473038,deis_msal
1961,476259,deis_msal
1962,490414,deis_msal
1963,491109,deis_msal
1964,496256,deis_msal
1965,481814,deis_msal
1966,478617,deis_msal
1967,478692,deis_msal
1968,493353,deis_msal
1969,580699,deis_msal
1970,516025,deis_msal
1971,544623,imputado_lineal
1972,573220,imputado_lineal
1973,601818,imputado_lineal
1974,630415,imputado_lineal
1975,659013,deis_msal
1976,656768,deis_msal
1977,649967,deis_msal
1978,665623,deis_msal
1979,701911,deis_msal
1980,697461,deis_msal
1981,680292,deis_msal
1982,663429,deis_msal
1983,655876,deis_msal
1984,635323,deis_msal
1985,650873,deis_msal
1986,675388,deis_msal
1987,668136,deis_msal
1988,680605,deis_msal
1989,667058,deis_msal
1990,678644,deis_msal
1991,694776,deis_msal
1992,678761,deis_msal
1993,667518,deis_msal
1994,673787,deis_msal
1995,658735,deis_msal
1996,675437,deis_msal
1997,692357,deis_msal
1998,683301,deis_msal
1999,686748,deis_msal
2000,701878,deis_msal
2001,683495,deis_msal
2002,694684,deis_msal
2003,697952,deis_msal
2004,736261,deis_msal
2005,712220,deis_msal
2006,696451,deis_msal
2007,700792,deis_msal
2008,746460,deis_msal
2009,745336,deis_msal
2010,756176,deis_msal
2011,758042,deis_msal
2012,738318,deis_msal
2013,754603,deis_msal
2014,777012,deis_msal
2015,770040,deis_msal
2016,728035,deis_msal
2017,704609,deis_msal
2018,685394,deis_msal
2019,625441,deis_msal
2020,533299,deis_msal
2021,529794,deis_msal
2022,495295,deis_msal
2023,460902,deis_msal
2024,413135,deis_msal
