nombre,codigo_indec,iso_id,region,capital,capital_lat,capital_lon,poblacion_2022,superficie_km2
Ciudad Autónoma de Buenos Aires,02,AR-C,CABA,Ciudad Autónoma de Buenos Aires,-34.6037,-58.3816,3121707,203
Buenos Aires,06,AR-B,Pampeana,La Plata,-34.9214,-57.9544,17569053,307571
Catamarca,10,AR-K,NOA,San Fernando del Valle de Catamarca,-28.4696,-65.7795,415438,102602
Córdoba,14,AR-X,Pampeana,Córdoba,-31.4201,-64.1888,3840905,165321
Corrientes,18,AR-W,NEA,Corrientes,-27.4806,-58.8341,1212696,88199
Chaco,22,AR-H,NEA,Resistencia,-27.4517,-58.9867,1142963,99633
Chubut,26,AR-U,Patagonia,Rawson,-43.3002,-65.1023,603120,224686
Entre Ríos,30,AR-E,Pampeana,Paraná,-31.7330,-60.5238,1426426,78781
Formosa,34,AR-P,NEA,Formosa,-26.1844,-58.1722,606041,72066
Jujuy,38,AR-Y,NOA,San Salvador de Jujuy,-24.1858,-65.2995,797955,53219
La Pampa,42,AR-L,Pampeana,Santa Rosa,-36.6203,-64.2906,366022,143440
La Rioja,46,AR-F,NOA,La Rioja,-29.4128,-66.8559,393531,89680
Mendoza,50,AR-M,Cuyo,Mendoza,-32.8895,-68.8458,2014533,148827
Misiones,54,AR-N,NEA,Posadas,-27.3621,-55.9008,1280960,29801
Neuquén,58,AR-Q,Patagonia,Neuquén,-38.9516,-68.0591,726590,94078
Río Negro,62,AR-R,Patagonia,Viedma,-40.8135,-62.9967,762067,203013
Salta,66,AR-A,NOA,Salta,-24.7821,-65.4232,1424397,155488
San Juan,70,AR-J,Cuyo,San Juan,-31.5375,-68.5364,818234,89651
San Luis,74,AR-D,Cuyo,San Luis,-33.2950,-66.3356,540905,76748
Santa Cruz,78,AR-Z,Patagonia,Río Gallegos,-51.6230,-69.2168,333473,243943
Santa Fe,82,AR-S,Pampeana,Santa Fe,-31.6107,-60.6973,3556522,133007
Santiago del Estero,86,AR-G,NOA,Santiago del Estero,-27.7951,-64.2615,1054028,136351
Tucumán,90,AR-T,NOA,San Miguel de Tucumán,-26.8083,-65.2176,1694656,22524
Tierra del Fuego,94,AR-V,Patagonia,Ushuaia,-54.8019,-68.3030,190641,21263
